Nation,No of Players
al ALB,10
am ARM,2
ao ANG,6
ar ARG,73
at AUT,35
au AUS,7
ba BIH,8
be BEL,52
bf BFA,4
bi BDI,1
bj BEN,2
br BRA,83
ca CAN,11
cd COD,8
cf CTA,2
cg CGO,4
ch SUI,36
ci CIV,51
cl CHI,4
cm CMR,19
co COL,21
cr CRC,1
cv CPV,4
cy CYP,1
cz CZE,15
de GER,219
dk DEN,50
do DOM,1
dz ALG,21
ec ECU,7
ee EST,2
eg EGY,7
eng ENG,211
es ESP,380
fi FIN,6
fr FRA,322
ga GAB,4
ge GEO,8
gf GUF,2
gh GHA,26
gm GAM,3
gn GUI,14
gp GLP,1
gq EQG,3
gr GRE,10
gw GNB,4
hr CRO,34
ht HAI,2
hu HUN,9
id IDN,1
ie IRL,19
il ISR,2
iq IRQ,2
ir IRN,1
is ISL,7
it ITA,208
jm JAM,4
jo JOR,2
jp JPN,21
ke KEN,1
km COM,1
kr KOR,9
lt LTU,1
lu LUX,1
ly LBY,1
ma MAR,40
me MNE,3
mg MAD,2
mk MKD,3
ml MLI,21
mq MTQ,2
ms MSR,1
mt MLT,1
mx MEX,5
mz MOZ,1
ng NGA,30
nir NIR,3
nl NED,62
no NOR,23
nz NZL,3
pa PAN,1
pe PER,2
ph PHI,1
pl POL,32
pr PUR,1
pt POR,58
py PAR,7
ro ROU,11
rs SRB,30
ru RUS,4
sa KSA,1
sct SCO,20
se SWE,35
si SVN,9
sk SVK,12
sl SLE,2
sn SEN,30
sr SUR,2
tg TOG,3
tn TUN,7
tr TUR,13
ua UKR,11
us USA,24
uy URU,19
uz UZB,3
ve VEN,5
wls WAL,11
xk KVX,7
zm ZAM,3
zw ZIM,3
